ID,Company,Model,Segment,Predictia modelului
252,OPEL,OPEL Astra Sport Sedan (2012-Present),Compact,Compact
253,RENAULT,RENAULT Megane Coupe - Cabrio (2014-Present),Compact,Compact
254,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Compact
255,DATSUN,DATSUN on-Do (2014-Present),Compact,Compact
256,CITROEN,CITROEN DS5 (2011-Present),Compact,Compact
257,GENESIS,GENESIS G70 (2021-Present),Compact,Coupe Cabrio
258,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Compact
259,DATSUN,DATSUN on-Do (2014-Present),Compact,Compact
260,TOYOTA,TOYOTA AURIS (2018-Present),Compact,Compact
261,NISSAN,NISSAN Pulsar (2014-Present),Compact,Compact
262,MINI,MINI Mini Cooper 3-door (2021-Present),Compact,Small
404,BMW,2019,Medium SUV,Crossover
405,LAND ROVER,2018 Land Rover Range Rover Velar,Medium SUV,Medium SUV
406,BMW,BMW X3 M (F97) (2019-Present),Medium SUV,Medium SUV
407,BMW,BMW X3 M (F97) (2021-Present),Medium SUV,Medium SUV
408,MERCEDES BENZ,2020 Mercedes-Benz GLE,Medium SUV,Large SUV
409,OPEL,OPEL Grandland (2021-Present),Medium SUV,Crossover
410,MERCEDES BENZ,2020 Mercedes-Benz GLC Coupe,Medium SUV,Crossover
411,BMW,BMW X3 (2021-Present),Medium SUV,Medium SUV
412,BMW,BMW X4 M (F98) (2019-Present),Medium SUV,Medium SUV
413,BMW,BMW X3 (2021-Present),Medium SUV,Medium SUV
414,HONDA,HONDA HR-V (2022-Present),Medium SUV,Small SUV
415,MASERATI,2023 Maserati Grecale Trofeo,Medium SUV,Medium SUV
416,PORSCHE,2024 Porsche Cayenne S,Medium SUV,Large SUV
417,OPEL,OPEL Grandland (2021-Present),Medium SUV,Crossover
418,JEEP,JEEP Cherokee (2018-Present),Medium SUV,Premium SUV
419,BMW,BMW X4 (2021-Present),Medium SUV,Medium SUV
420,LAND ROVER,2018 Land Rover Range Rover Velar,Medium SUV,Medium SUV
421,BMW,BMW X4 (2021-Present),Medium SUV,Medium SUV
422,LAND ROVER,2018 Land Rover Range Rover Velar,Medium SUV,Large SUV
423,LAND ROVER,2018 Land Rover Range Rover Velar,Medium SUV,Medium SUV
424,ASTON MARTIN,ASTON MARTIN DBX707 (2022-Present),Medium SUV,Medium SUV
425,LAND ROVER,2018 Land Rover Range Rover Velar,Medium SUV,Premium SUV
426,RENAULT,2022 Renault Arkana,Medium SUV,Compact
427,LAND ROVER,2020 Land Rover Defender 110,Medium SUV,Large SUV
428,KIA,KIA Sorento (US) (2018-Present),Medium SUV,Small SUV
429,LAND ROVER,2018 Land Rover Range Rover Velar,Medium SUV,Large SUV
430,BMW,BMW X4 M (F98) (2021-Present),Medium SUV,Medium SUV
431,MERCEDES BENZ,2020 Mercedes-Benz GLC Coupe,Medium SUV,Crossover
432,PORSCHE,2024 Porsche Cayenne Turbo E-Hybrid,Medium SUV,Medium SUV
433,MERCEDES BENZ,2020 Mercedes-Benz GLE,Medium SUV,Large SUV
434,MASERATI,2023 Maserati Grecale GT,Medium SUV,Medium SUV
435,OPEL,OPEL Grandland (2021-Present),Medium SUV,Crossover
436,RENAULT,2024 Renault Arkana,Medium SUV,Compact
437,LAND ROVER,2020 Land Rover Defender 110,Medium SUV,Premium SUV
438,KIA,KIA Borrego (2009-Present),Medium SUV,Large SUV
