Company,Model,F1,F2
AUDI,AUDI A5 Cabriolet (2012-Present),-0.07684335123005297,0.28054071772982914
AUDI,AUDI A5 Cabriolet (2012-Present),0.5996090909709652,-0.24858213529899004
AUDI,AUDI A5 Cabriolet (2012-Present),0.44952694595064374,-0.08118494768016575
AUDI,AUDI A5 Cabriolet (2012-Present),0.5317725248000327,-0.03031867095427818
AUDI,AUDI A5 Cabriolet (2012-Present),1.0267970869355156,-0.14019364255714764
AUDI,AUDI A5 Cabriolet (2012-Present),-0.17939636214403457,0.3271685839700151
AUDI,AUDI A5 Cabriolet (2012-Present),0.15472433560112703,0.10052590471704063
AUDI,AUDI A5 Cabriolet (2012-Present),0.14117451854355326,0.21878368404312154
AUDI,AUDI A5 Cabriolet (2012-Present),-0.18452786399276588,0.4116539170501224
AUDI,AUDI A5 Cabriolet (2012-Present),0.3729367896086291,0.013899102945340785
AUDI,AUDI A5 Cabriolet (2012-Present),0.25097343680682044,0.16316010435330436
