ID,Company,Model,Segment,Fuel,Power(HP),Torque(Nm),Displacement,Length,Width,Height,Wheelbase,Cargo Volume,Unladen Weight,Top Speed,Acceleration 0-62 Mph (0-100 kph),Combined mpg,Fuel capacity,Partition
67,OPEL,OPEL Astra Sport Sedan (2012-Present),Compact,Gasoline,140.0,201.0,1364.0,183.4,71.4,59.1,105.7,16.2,3097.0,129.0,10.2,39.9,14.8,Antrenament
68,HOLDEN,HOLDEN Cruze (2008-Present),Compact,Gasoline,140.0,201.0,1364.0,181.0,70.4,58.1,105.7,14.1,2950.0,124.0,9.3,41.3,15.9,Antrenament
69,OPEL,OPEL Astra Sport Sedan (2012-Present),Compact,Diesel,110.0,281.0,1676.0,183.4,71.4,59.1,105.7,16.2,3097.0,117.0,12.4,53.5,14.8,Antrenament
70,HOLDEN,HOLDEN Cruze (2008-Present),Compact,Diesel,150.0,320.0,1991.0,181.0,70.4,58.1,105.7,14.1,3311.0,130.0,10.3,41.3,15.9,Antrenament
71,FIAT,FIAT Tipo Station Wagon (2016-Present),Compact,Gasoline,120.0,215.0,1368.0,180.0,70.6,59.6,103.9,19.4,3241.0,124.0,10.3,50.0,13.2,Antrenament
72,CHEVROLET,CHEVROLET Cruze Wagon (2012-Present),Compact,Gasoline,141.0,176.0,1796.0,184.1,70.7,58.4,105.7,17.7,3020.0,124.0,11.0,35.0,15.9,Antrenament
73,CHEVROLET,CHEVROLET Cruze HB5 (2011-Present),Compact,Diesel,163.0,361.0,1998.0,177.7,70.7,58.1,105.7,14.6,3316.0,127.0,9.2,49.0,15.9,Antrenament
74,AUDI,AUDI A3 Cabriolet (2016-Present),Compact,Gasoline,116.0,200.0,1395.0,174.1,70.6,55.5,102.2,11.3,3153.0,126.0,10.6,42.0,13.2,Antrenament
75,DS AUTOMOBILES,DS AUTOMOBILES DS 5 (2016-Present),Compact,Diesel,120.0,300.0,1598.0,178.3,73.7,59.3,107.4,16.5,3148.0,119.0,11.7,61.9,15.9,Antrenament
76,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Diesel,224.0,450.0,1995.0,170.4,69.5,55.9,105.9,12.7,3307.0,149.0,6.3,54.7,13.7,Antrenament
77,CHEVROLET,CHEVROLET Cruze Wagon (2012-Present),Compact,Diesel,163.0,361.0,1998.0,184.1,70.7,58.4,105.7,17.7,3351.0,124.0,8.8,44.0,15.9,Antrenament
78,KIA,2012 Kia cee'd Sportswagon,Compact,Diesel,90.0,201.0,1396.0,177.4,70.1,58.5,104.3,18.6,3111.0,106.0,13.9,54.7,14.0,Antrenament
79,DS AUTOMOBILES,DS AUTOMOBILES DS 5 (2016-Present),Compact,Gasoline,165.0,240.0,1598.0,178.3,73.7,59.3,107.4,16.5,3150.0,126.0,9.7,39.9,15.9,Antrenament
80,OPEL,OPEL Corsa 3 Doors (2014-Present),Compact,Gasoline,90.0,130.0,1398.0,158.3,68.3,58.2,98.8,10.1,2535.0,109.0,13.2,47.0,11.9,Antrenament
81,MITSUBISHI,MITSUBISHI Lancer Sportback (2008-Present),Compact,Gasoline,140.0,176.0,1798.0,180.5,69.3,59.6,103.7,10.2,3109.0,114.0,12.2,32.7,15.6,Antrenament
82,VOLKSWAGEN,VOLKSWAGEN Golf Variant (2020-Present),Compact,Gasoline,130.0,200.0,1498.0,182.4,70.4,59.0,105.1,21.6,2835.0,133.0,9.4,42.8,11.9,Antrenament
83,DS AUTOMOBILES,DS AUTOMOBILES DS 5 (2016-Present),Compact,Diesel,150.0,370.0,1997.0,178.3,73.7,59.3,107.4,16.5,3389.0,130.0,10.6,54.7,15.9,Antrenament
84,SUZUKI,SUZUKI Baleno (2016-Present),Compact,Gasoline,111.0,170.0,998.0,157.3,68.7,57.9,99.2,12.5,2227.0,118.0,11.0,48.0,9.8,Antrenament
85,MERCEDES BENZ,2019 Mercedes-Benz CLA Shooting Brake,Compact,Gasoline,136.0,200.0,1332.0,184.6,78.7,56.8,107.4,17.8,3175.0,134.0,9.2,42.8,11.4,Antrenament
86,HOLDEN,HOLDEN Cruze (2008-Present),Compact,Diesel,150.0,320.0,1991.0,181.0,70.4,58.1,105.7,14.1,3091.0,130.0,10.0,42.0,15.9,Antrenament
87,AUDI,AUDI A3 Cabriolet (2016-Present),Compact,Diesel,150.0,340.0,1968.0,174.1,70.6,55.5,102.2,11.3,3560.0,137.0,8.8,46.1,13.2,Antrenament
88,QOROS,QOROS 3 Hatchbach (2014-Present),Compact,Gasoline,126.0,210.0,1598.0,174.7,72.4,56.9,105.9,14.2,3109.0,130.0,9.7,36.2,14.5,Antrenament
89,NISSAN,NISSAN Primera Sedan (2002-Present),Compact,Gasoline,140.0,193.0,1998.0,179.9,69.3,58.3,105.5,15.9,2899.1,124.0,9.6,27.0,16.4,Antrenament
90,TOYOTA,TOYOTA AURIS (2018-Present),Compact,Gasoline,99.0,128.0,1329.0,170.5,69.3,58.1,102.4,12.7,2535.0,109.0,12.6,42.8,13.2,Antrenament
91,BMW,BMW M3 Touring (2022-Present),Compact,Gasoline,510.0,650.0,2993.0,188.7,74.9,56.5,113.2,17.7,4112.0,155.0,3.6,22.6,15.6,Antrenament
92,SKODA,SKODA Fabia Combi (2018-Present),Compact,Gasoline,110.0,200.0,999.0,195.4,68.2,57.8,97.2,18.7,2612.0,121.0,10.2,47.0,11.9,Antrenament
93,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Gasoline,109.0,180.0,1499.0,170.4,69.5,55.9,105.9,12.7,3031.0,121.0,10.9,47.0,13.7,Antrenament
94,CITROEN,CITROEN DS5 (2011-Present),Compact,Diesel,163.0,340.0,1997.0,178.3,73.7,59.2,107.4,16.4,3560.0,132.0,9.8,39.9,15.9,Antrenament
95,GENESIS,GENESIS G70 Shooting Brake (2021-Present),Compact,Gasoline,245.0,353.0,1998.0,184.4,72.8,55.1,111.6,14.2,3940.0,146.0,6.9,25.3,15.9,Antrenament
96,OPEL,OPEL Corsa 3 Doors (2014-Present),Compact,Gasoline,114.0,169.0,998.0,158.3,68.3,58.2,98.8,10.1,2469.0,121.0,10.3,48.0,11.9,Antrenament
